Sample,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_tile_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content
365_S33_L001_R1_001,365_S33_L001_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,69002831,0,151,43,69.07450984,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,fail
365_S33_L001_R2_001,365_S33_L001_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,69002831,0,151,42,69.24636707,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,fail
368_S19_L001_R1_001,368_S19_L001_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,51623336,0,151,38,71.63521446,151,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,fail
368_S19_L001_R2_001,368_S19_L001_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,51623336,0,151,37,72.1061122,151,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,fail
371_S245_L004_R1_001,371_S245_L004_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,45579398,0,151,37,67.74694379,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,fail
371_S245_L004_R2_001,371_S245_L004_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,45579398,0,151,37,72.18362368,151,pass,pass,fail,pass,fail,pass,warn,pass,pass,pass,fail
374_S37_L001_R1_001,374_S37_L001_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,27804318,0,151,37,73.45437423,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,warn
374_S37_L001_R2_001,374_S37_L001_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,27804318,0,151,37,74.85399392,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,warn
379_S135_L003_R1_001,379_S135_L003_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,37598032,0,151,36,71.12847727,151,pass,pass,warn,pass,fail,pass,pass,pass,pass,pass,fail
379_S135_L003_R2_001,379_S135_L003_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,37598032,0,151,36,72.69664917,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,fail
380_S225_L004_R1_001,380_S225_L004_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,38969430,0,151,37,67.69300163,151,pass,pass,pass,pass,fail,pass,pass,pass,warn,pass,warn
380_S225_L004_R2_001,380_S225_L004_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,38969430,0,151,36,67.87618811,151,pass,pass,pass,pass,fail,pass,pass,pass,warn,pass,warn
